bid,average_rating
4658,0.25
3911,0.7090909090909091
4436,0.8727272727272727
253,0.8333333333333334
9,0.9166666666666666
752,0.1875
4256,0.24561403508771928
4218,0.7659574468085106
3184,0.07272727272727272
3730,0.7708333333333334
2910,0.0
3962,0.14893617021276595
4164,0.8936170212765957
2836,0.7368421052631579
4249,0.7021276595744681
3567,0.05454545454545454
1698,0.8936170212765957
2652,0.17543859649122806
1656,0.01818181818181818
301,0.8723404255319149
650,0.7017543859649122
3071,0.19148936170212766
1783,0.23404255319148937
3223,0.10416666666666667
3030,0.14035087719298245
4050,0.18181818181818182
2839,0.8421052631578947
2612,0.08771929824561403
3208,0.8297872340425532
1067,0.8297872340425532
1642,0.7659574468085106
2100,0.9361702127659575
4522,0.21818181818181817
2625,0.7708333333333334
1268,0.7818181818181819
2939,0.17543859649122806
1583,0.041666666666666664
4407,0.7872340425531915
1303,0.8333333333333334
881,0.2545454545454545
4682,0.2
3361,0.8
1013,0.8545454545454545
4672,0.8297872340425532
4566,0.20833333333333334
675,0.10909090909090909
1149,0.7708333333333334
3379,0.20833333333333334
605,0.8085106382978723
2827,0.22916666666666666
3134,0.7083333333333334
3804,0.7272727272727273
4538,0.14545454545454545
1210,0.0425531914893617
4172,0.875
4600,0.7719298245614035
3820,0.7454545454545455
4105,0.18181818181818182
2343,0.7446808510638298
1461,0.07017543859649122
1336,0.08333333333333333
2764,0.20833333333333334
159,0.7090909090909091
308,0.8
433,0.25
1988,0.8297872340425532
1842,0.19298245614035087
2451,0.7021276595744681
4144,0.7454545454545455
3822,0.06382978723404255
1285,0.10526315789473684
4031,0.8541666666666666
1903,0.2909090909090909
312,0.017543859649122806
4065,0.0425531914893617
2821,0.14035087719298245
3025,0.2553191489361702
4785,0.8541666666666666
390,0.2978723404255319
3092,0.09090909090909091
1855,0.6909090909090909
2503,0.6595744680851063
1167,0.3684210526315789
2793,0.6545454545454545
2429,0.6491228070175439
4686,0.6595744680851063
714,0.47368421052631576
488,0.45454545454545453
4147,0.6595744680851063
385,0.5
4674,0.6842105263157895
4346,0.44680851063829785
2497,0.43636363636363634
2706,0.4791666666666667
1504,0.43859649122807015
1555,0.625
4459,0.5208333333333334
2918,0.4727272727272727
2731,0.4909090909090909
4178,0.40350877192982454
1281,0.3404255319148936
4777,0.5964912280701754
4644,0.4583333333333333
3046,0.425531914893617
4240,0.5625
106,0.6666666666666666
4512,0.6808510638297872
3721,0.6666666666666666
3413,0.6666666666666666
4678,0.6170212765957447
1662,0.6140350877192983
4613,0.5454545454545454
2144,0.5
4283,0.6666666666666666
4649,0.3508771929824561
1427,0.45614035087719296
1053,0.36363636363636365
2915,0.3333333333333333
4783,0.41818181818181815
2512,0.509090909090909
835,0.6181818181818182
4606,0.43636363636363634
3381,0.3541666666666667
1776,0.4
2310,0.5416666666666666
1908,0.43859649122807015
1272,0.3508771929824561
377,0.3684210526315789
849,0.6
3571,0.6491228070175439
3993,0.6666666666666666
3303,0.5531914893617021
1349,0.5454545454545454
1280,0.5625
4087,0.6545454545454545
1859,0.42105263157894735
3470,0.6491228070175439
3228,0.3090909090909091
997,0.375
2892,0.5319148936170213
1370,0.6545454545454545
4006,0.45614035087719296
4278,0.5614035087719298
2710,0.4791666666666667
2051,0.5614035087719298
3873,0.6382978723404256
4719,0.4583333333333333
1027,0.6041666666666666
122,0.42105263157894735
4036,0.625
4061,0.5531914893617021
1422,0.574468085106383
4547,0.3958333333333333
4515,0.6909090909090909
2671,0.3829787234042553
1872,0.4
3455,0.5
4684,0.6140350877192983
3551,0.543859649122807
2842,0.5263157894736842
